Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Royal Challengers Bangalore,,,,
2018,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,,,,,Delhi Daredevils,,,,
2018,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,,,,,Rajasthan Royals,,,,
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,,,,,Kolkata Knight Riders,,,,
2018,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,,,,,Delhi Daredevils,,,,
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2018,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,,,,,Kolkata Knight Riders,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,,,,,Sunrisers Hyderabad,,,,
2018,"Wankhede Stadium, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Mumbai Indians,field,,,,,Delhi Capitals,,,,
2019,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,,,,,Kings XI Punjab,,,,
2019,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,,,,,Chennai Super Kings,,,,
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,,,,,Kolkata Knight Riders,,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,,,,,Mumbai Indians,,,,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,,,,,Sunrisers Hyderabad,,,,
